Albert Philips
Bennie Scheepers
Bennie Schepers
Cor Heutmekers
Fons Meyers
Graad Becker
Graad Beckers
Harie Lemmens
Harie Steps
Harie Vranken
Henk Stevens
Jack Winteraeken
Jackie Hendriks
Jacq Meijers
Jan Feron
Jeu Janssen
Jo Collard
Jo Eykenboom
Joep Bohlen
Jos Meyers
Jos van Hees
Leo Ummels
Nic Voncken
Paul Daemen
Pierre Lemmens
Piet Ronden
Rene Snellings
Rob Haenen
Sinne Sietsema
Sjef Bours
Sjefke Collard
Sjir Mullenders
Wiener Sangerknaben